player1,player2,score,url_match,score_set,table,time
Савинский А,Свердлов М,- : -,https://tt.sport-liga.pro/games/324571,не сыгран,А4,15:45
Мартюхин С,Морозов С,- : -,https://tt.sport-liga.pro/games/324634,не сыгран,А6,15:45
Ольшаков К,Бортников Р,- : -,https://tt.sport-liga.pro/games/324635,не сыгран,А6,15:45
Морозов С,Ольшаков К,- : -,https://tt.sport-liga.pro/games/324636,не сыгран,А6,15:45
Бортников Р,Мартюхин С,- : -,https://tt.sport-liga.pro/games/324637,не сыгран,А6,15:45
Мартюхин С,Ольшаков К,- : -,https://tt.sport-liga.pro/games/324638,не сыгран,А6,15:45
Морозов С,Бортников Р,- : -,https://tt.sport-liga.pro/games/324639,не сыгран,А6,15:45
Белугин О,Скоблов А,- : -,https://tt.sport-liga.pro/games/324600,не сыгран,А5,15:30
Мошников О,Давлитшин И,- : -,https://tt.sport-liga.pro/games/324601,не сыгран,А5,15:30
Скоблов А,Мошников О,- : -,https://tt.sport-liga.pro/games/324602,не сыгран,А5,15:30
Давлитшин И,Белугин О,- : -,https://tt.sport-liga.pro/games/324603,не сыгран,А5,15:30
Белугин О,Мошников О,- : -,https://tt.sport-liga.pro/games/324604,не сыгран,А5,15:30
Скоблов А,Давлитшин И,- : -,https://tt.sport-liga.pro/games/324605,не сыгран,А5,15:30
Шафиев Р,Ляльков В,- : -,https://tt.sport-liga.pro/games/324668,не сыгран,А15,12:00
Павлов А,Гусь С,- : -,https://tt.sport-liga.pro/games/324669,не сыгран,А15,12:00
Ляльков В,Павлов А,- : -,https://tt.sport-liga.pro/games/324670,не сыгран,А15,12:00
Гусь С,Шафиев Р,- : -,https://tt.sport-liga.pro/games/324671,не сыгран,А15,12:00
Шафиев Р,Павлов А,- : -,https://tt.sport-liga.pro/games/324672,не сыгран,А15,12:00
Ляльков В,Гусь С,- : -,https://tt.sport-liga.pro/games/324673,не сыгран,А15,12:00
Разинков Т,Быструшкин К,- : -,https://tt.sport-liga.pro/games/324536,не сыгран,А3,12:00
Боев А-н,Никулин С,- : -,https://tt.sport-liga.pro/games/324537,не сыгран,А3,12:00
Быструшкин К,Боев А-н,- : -,https://tt.sport-liga.pro/games/324538,не сыгран,А3,12:00
Никулин С,Разинков Т,- : -,https://tt.sport-liga.pro/games/324539,не сыгран,А3,12:00
Разинков Т,Боев А-н,- : -,https://tt.sport-liga.pro/games/324540,не сыгран,А3,12:00
Быструшкин К,Никулин С,- : -,https://tt.sport-liga.pro/games/324541,не сыгран,А3,12:00
Богденко В,Скомсков В,- : -,https://tt.sport-liga.pro/games/324628,не сыгран,А6,11:45
Зайцев Ю,Строев А,- : -,https://tt.sport-liga.pro/games/324629,не сыгран,А6,11:45
Скомсков В,Зайцев Ю,- : -,https://tt.sport-liga.pro/games/324630,не сыгран,А6,11:45
Строев А,Богденко В,- : -,https://tt.sport-liga.pro/games/324631,не сыгран,А6,11:45
Богденко В,Зайцев Ю,- : -,https://tt.sport-liga.pro/games/324632,не сыгран,А6,11:45
Скомсков В,Строев А,- : -,https://tt.sport-liga.pro/games/324633,не сыгран,А6,11:45
Хаперский Ю,Агапов Н,- : -,https://tt.sport-liga.pro/games/324560,не сыгран,А4,11:45
Сергеевич И,Щавелев Н,- : -,https://tt.sport-liga.pro/games/324561,не сыгран,А4,11:45
Агапов Н,Сергеевич И,- : -,https://tt.sport-liga.pro/games/324562,не сыгран,А4,11:45
Щавелев Н,Хаперский Ю,- : -,https://tt.sport-liga.pro/games/324563,не сыгран,А4,11:45
Хаперский Ю,Сергеевич И,- : -,https://tt.sport-liga.pro/games/324564,не сыгран,А4,11:45
Агапов Н,Щавелев Н,- : -,https://tt.sport-liga.pro/games/324565,не сыгран,А4,11:45
Путиловский В,Кутузов О,- : -,https://tt.sport-liga.pro/games/324594,не сыгран,А5,11:30
Сафронов С,Галузинский С,- : -,https://tt.sport-liga.pro/games/324595,не сыгран,А5,11:30
Кутузов О,Сафронов С,- : -,https://tt.sport-liga.pro/games/324596,не сыгран,А5,11:30
Галузинский С,Путиловский В,- : -,https://tt.sport-liga.pro/games/324597,не сыгран,А5,11:30
Путиловский В,Сафронов С,- : -,https://tt.sport-liga.pro/games/324598,не сыгран,А5,11:30
Кутузов О,Галузинский С,- : -,https://tt.sport-liga.pro/games/324599,не сыгран,А5,11:30
Боков А,Клавденков А,- : -,https://tt.sport-liga.pro/games/324530,не сыгран,А3,08:00
Калашников Е,Базилевский В,- : -,https://tt.sport-liga.pro/games/324531,не сыгран,А3,08:00
Клавденков А,Калашников Е,- : -,https://tt.sport-liga.pro/games/324532,не сыгран,А3,08:00
Базилевский В,Боков А,- : -,https://tt.sport-liga.pro/games/324533,не сыгран,А3,08:00
Боков А,Калашников Е,- : -,https://tt.sport-liga.pro/games/324534,не сыгран,А3,08:00
Клавденков А,Базилевский В,- : -,https://tt.sport-liga.pro/games/324535,не сыгран,А3,08:00
Ермоленко В,Шубин А,- : -,https://tt.sport-liga.pro/games/324662,не сыгран,А15,08:00
Казак А,Чертков Д,- : -,https://tt.sport-liga.pro/games/324663,не сыгран,А15,08:00
Шубин А,Казак А,- : -,https://tt.sport-liga.pro/games/324664,не сыгран,А15,08:00
Чертков Д,Ермоленко В,- : -,https://tt.sport-liga.pro/games/324665,не сыгран,А15,08:00
Ермоленко В,Казак А,- : -,https://tt.sport-liga.pro/games/324666,не сыгран,А15,08:00
Шубин А,Чертков Д,- : -,https://tt.sport-liga.pro/games/324667,не сыгран,А15,08:00
Гущин С,Лобанов А,- : -,https://tt.sport-liga.pro/games/324622,не сыгран,А6,07:45
Новиков И,Богданов Д,- : -,https://tt.sport-liga.pro/games/324623,не сыгран,А6,07:45
Лобанов А,Новиков И,- : -,https://tt.sport-liga.pro/games/324624,не сыгран,А6,07:45
Богданов Д,Гущин С,- : -,https://tt.sport-liga.pro/games/324625,не сыгран,А6,07:45
Гущин С,Новиков И,- : -,https://tt.sport-liga.pro/games/324626,не сыгран,А6,07:45
Лобанов А,Богданов Д,- : -,https://tt.sport-liga.pro/games/324627,не сыгран,А6,07:45
Карповкин Г,Кузьмин А,- : -,https://tt.sport-liga.pro/games/324554,не сыгран,А4,07:45
Цветков Э,Василевский К,- : -,https://tt.sport-liga.pro/games/324555,не сыгран,А4,07:45
Кузьмин А,Цветков Э,- : -,https://tt.sport-liga.pro/games/324556,не сыгран,А4,07:45
Василевский К,Карповкин Г,- : -,https://tt.sport-liga.pro/games/324557,не сыгран,А4,07:45
Карповкин Г,Цветков Э,- : -,https://tt.sport-liga.pro/games/324558,не сыгран,А4,07:45
Кузьмин А,Василевский К,- : -,https://tt.sport-liga.pro/games/324559,не сыгран,А4,07:45
Чеканов С,Ханевский А,- : -,https://tt.sport-liga.pro/games/324588,не сыгран,А5,07:30
Крикунов И,Мануйлов О,- : -,https://tt.sport-liga.pro/games/324589,не сыгран,А5,07:30
Ханевский А,Крикунов И,- : -,https://tt.sport-liga.pro/games/324590,не сыгран,А5,07:30
Мануйлов О,Чеканов С,- : -,https://tt.sport-liga.pro/games/324591,не сыгран,А5,07:30
Чеканов С,Крикунов И,- : -,https://tt.sport-liga.pro/games/324592,не сыгран,А5,07:30
Ханевский А,Мануйлов О,- : -,https://tt.sport-liga.pro/games/324593,не сыгран,А5,07:30
