12:00,11 Мая 2024,А9,550-600,Артемов А,Быструшкин К,3 : 1,(11-9 11-5 16-18 13-11),https://tt.sport-liga.pro/games/322557
12:00,11 Мая 2024,А9,550-600,Никулин С,Еремин В,2 : 3,(11-5 11-3 8-11 9-11 8-11),https://tt.sport-liga.pro/games/322558
12:00,11 Мая 2024,А9,550-600,Быструшкин К,Никулин С,3 : 0,(16-14 11-8 11-3),https://tt.sport-liga.pro/games/322559
12:00,11 Мая 2024,А9,550-600,Еремин В,Артемов А,0 : 3,(10-12 3-11 8-11),https://tt.sport-liga.pro/games/322560
12:00,11 Мая 2024,А9,550-600,Артемов А,Никулин С,3 : 1,(11-4 5-11 11-1 11-8),https://tt.sport-liga.pro/games/322561
12:00,11 Мая 2024,А9,550-600,Быструшкин К,Еремин В,1 : 3,(9-11 6-11 11-7 7-11),https://tt.sport-liga.pro/games/322562
12:00,11 Мая 2024,А9,550-600,Быструшкин К,Никулин С,3 : 0,(11-6 11-8 11-5),https://tt.sport-liga.pro/games/322820
12:00,11 Мая 2024,А9,550-600,Артемов А,Еремин В,2 : 3,(11-7 7-11 11-6 8-11 6-11),https://tt.sport-liga.pro/games/322821
12:00,11 Мая 2024,А3,500-550,Александровский М,Помазков А,3 : 1,(12-10 10-12 11-9 11-2),https://tt.sport-liga.pro/games/322437
12:00,11 Мая 2024,А3,500-550,Калинников Г,Шагаров О,1 : 3,(11-4 10-12 6-11 7-11),https://tt.sport-liga.pro/games/322438
12:00,11 Мая 2024,А3,500-550,Помазков А,Калинников Г,2 : 3,(11-6 2-11 7-11 11-8 10-12),https://tt.sport-liga.pro/games/322439
12:00,11 Мая 2024,А3,500-550,Шагаров О,Александровский М,3 : 1,(11-6 11-9 9-11 11-6),https://tt.sport-liga.pro/games/322440
12:00,11 Мая 2024,А3,500-550,Александровский М,Калинников Г,3 : 1,(11-7 11-9 9-11 11-7),https://tt.sport-liga.pro/games/322441
12:00,11 Мая 2024,А3,500-550,Помазков А,Шагаров О,3 : 2,(11-8 11-6 8-11 9-11 11-9),https://tt.sport-liga.pro/games/322442
12:00,11 Мая 2024,А3,500-550,Помазков А,Калинников Г,2 : 3,(8-11 8-11 11-4 13-11 5-11),https://tt.sport-liga.pro/games/322818
12:00,11 Мая 2024,А3,500-550,Шагаров О,Александровский М,3 : 1,(11-6 6-11 11-6 11-9),https://tt.sport-liga.pro/games/322819
12:00,11 Мая 2024,А15,700-800,Осадчий А,Мокей А,0 : 3,(9-11 7-11 10-12),https://tt.sport-liga.pro/games/322581
12:00,11 Мая 2024,А15,700-800,Козич Е,Лысаковский С,2 : 3,(11-7 8-11 11-7 7-11 10-12),https://tt.sport-liga.pro/games/322582
12:00,11 Мая 2024,А15,700-800,Мокей А,Козич Е,3 : 0,(11-5 11-7 12-10),https://tt.sport-liga.pro/games/322583
